round,region,area,averagewater,plant1
2,nw,scnwr,0,millet
2,nw,scnwr,0,bulrush
2,nw,scnwr,0,bulrush
2,nw,scnwr,0,a smartweed
2,nw,scnwr,0,a smartweed
2,nw,scnwr,0,a smartweed
2,nw,scnwr,0,millet
2,nw,scnwr,0,reed canary grass
2,nw,scnwr,0,reed canary grass
2,nw,scnwr,0,reed canary grass
2,nw,scnwr,0,reed canary grass
2,nw,scnwr,0,reed canary grass
2,nw,nvca,0,NA
2,nw,nvca,2.2,NA
2,nw,nvca,2.6,NA
2,nw,nvca,31,NA
2,nw,nvca,0,NA
2,nw,nvca,9.2,NA
2,nw,nvca,0,NA
2,nw,nvca,0,NA
2,nw,nvca,11.4,a smartweed
2,nw,nvca,34.8,biden
2,nw,nvca,6.8,a smartweed
2,nw,nvca,17.2,a smartweed
2,nw,nvca,17.6,spikerush
2,nw,nvca,17.6,spikerush
2,nw,nvca,17.6,spikerush
2,nw,nvca,17.6,spikerush
2,nw,nvca,16,a smartweed
2,nw,nvca,16,a smartweed
2,nw,nvca,14.8,a smartweed
2,nw,nvca,7,a smartweed
2,nw,nvca,15,a smartweed
2,nw,nvca,20.2,a smartweed
2,nw,nvca,27.4,a smartweed
2,nw,nvca,27.4,a smartweed
2,nw,nvca,6.8,biden
2,nw,nvca,6.8,biden
2,nw,nvca,0,millet
2,nw,nvca,9,a smartweed
2,nw,nvca,9,a smartweed
2,nw,nvca,13.4,a smartweed
2,nw,nvca,10.6,a smartweed
2,nw,nvca,11,a smartweed
2,nw,nvca,12.2,a smartweed
2,nw,nvca,14.6,a smartweed
2,nw,nvca,2.8,millet
2,nw,nvca,0,reed canary grass
2,nw,nvca,4,millet
2,nw,nvca,8.6,a smartweed
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
2,nw,scnwr,0,NA
