round,region,area,averagewater,plant1
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0.4,prairie cord grass
1,nc,slnwr,6.6,prairie cord grass
1,nc,slnwr,6.6,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,tree
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,plantain
1,nc,slnwr,0,plantain
1,nc,slnwr,0,plantain
1,nc,slnwr,0,a smartweed
1,nc,slnwr,0,a smartweed
1,nc,slnwr,0,plantain
1,nc,slnwr,0,plantain
1,nc,slnwr,0,a smartweed
1,nc,slnwr,0,a smartweed
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,0,prairie cord grass
1,nc,slnwr,1.4,prairie cord grass
1,nc,slnwr,9.6,prairie cord grass
1,nc,slnwr,6.2,prairie cord grass
1,nc,slnwr,0,plantain
1,nc,slnwr,0,plantain
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,p smartweed
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,plantain
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,spikerush
1,nc,slnwr,0,spikerush
1,nc,fgca,15.6,a smartweed
1,nc,fgca,0,p smartweed
1,nc,fgca,0,tree
1,nc,fgca,19,grass
1,nc,fgca,2.4,a smartweed
1,nc,fgca,0,a smartweed
1,nc,fgca,0,a smartweed
1,nc,fgca,0,a smartweed
1,nc,fgca,2.2,spikerush
1,nc,fgca,9.4,a smartweed
1,nc,fgca,19.4,spikerush
1,nc,fgca,20,spikerush
1,nc,fgca,20,spikerush
1,nc,fgca,30.8,spikerush
1,nc,fgca,23,spikerush
1,nc,fgca,2.4,a smartweed
1,nc,fgca,0,a smartweed
1,nc,fgca,21,bulrush
1,nc,fgca,0,bulrush
1,nc,fgca,9,prairie cord grass
1,nc,fgca,16,prairie cord grass
